Date,Close,High,Low,Open,Volume
2020-01-21,18.34747314453125,18.43716417503935,18.263631973709654,18.361121577493403,15000
2020-01-22,18.251935958862305,18.446915186140014,18.246086098584446,18.446915186140014,6000
2020-01-23,18.450817108154297,18.47421469314745,18.402071364643575,18.41182051334572,15000
2020-01-24,18.376720428466797,18.452761165911685,18.259732533021374,18.4293635868226,8000
2020-01-27,18.35527229309082,18.444963326409983,18.127148212222266,18.28118212573098,18000
2020-01-28,18.49761199951172,18.54635588282823,18.49761199951172,18.54635588282823,7500
2020-01-29,18.41571617126465,18.41571617126465,18.41571617126465,18.41571617126465,2500
2020-01-30,17.82103157043457,18.2889794191585,17.655299808245744,18.2889794191585,24500
2020-01-31,17.499319076538086,17.684547291110043,17.499319076538086,17.60655597459036,14500
2020-02-03,17.629955291748047,17.71184590323962,17.629955291748047,17.682600318826825,11500
2020-02-04,17.65140151977539,17.65140151977539,17.65140151977539,17.65140151977539,5500
2020-02-05,17.448619842529297,17.551957425334123,17.353078971940626,17.390124976587053,14000
2020-02-06,17.199052810668945,17.450574497703542,17.199052810668945,17.450574497703542,11500
2020-02-07,16.709657669067383,17.314091866677764,16.709657669067383,17.0898670270239,23500
2020-02-10,16.783750534057617,17.037222831972947,16.559525683407152,17.037222831972947,19500
2020-02-11,16.756454467773438,16.756454467773438,16.756454467773438,16.756454467773438,3000
2020-02-12,16.676511764526367,16.676511764526367,16.676511764526367,16.676511764526367,5500
2020-02-13,17.004070281982422,17.004070281982422,16.676507910042645,16.676507910042645,5500
2020-02-14,16.63556671142578,16.844194414468724,16.575124961239407,16.801298529680246,6000
2020-02-18,16.756454467773438,16.83834509270874,16.417192244778523,16.598521220069532,14000
2020-02-19,16.94363021850586,16.955329939628523,16.538076455629827,16.766200563463833,16500
2020-02-20,16.883073806762695,16.883073806762695,16.799079841977772,16.799079841977772,4000
2020-02-21,16.740476608276367,16.937767785383834,16.740476608276367,16.937767785383834,4000
2020-02-24,16.416217803955078,16.511933075075035,16.416217803955078,16.511933075075035,8000
2020-02-25,15.627052307128906,16.416219000054298,15.627052307128906,16.416219000054298,23000
2020-02-26,16.240413665771484,16.240413665771484,15.679793769561744,15.838016445317717,42500
2020-02-27,15.677840232849121,16.062655515671235,15.44148143241797,15.935686535663068,47500
